date,followers,likes,comments,shares,saves,impressions,reach,hashtag
2026-04-01,1001,378,44,22,13,1766,2238,#streamlit
2026-04-02,1015,216,25,27,6,1293,2434,#data
2026-04-03,1024,323,20,3,12,3327,1062,#coding
2026-04-04,1029,437,49,1,12,4908,2587,#python
2026-04-05,1031,138,22,3,11,3931,2991,#analytics
2026-04-06,1046,365,28,5,7,4681,3193,#python
2026-04-07,1047,63,30,15,1,1197,1423,#analytics
2026-04-08,1060,291,29,14,1,4029,1816,#python
2026-04-09,1077,314,49,3,13,2930,1680,#coding
2026-04-10,1082,395,45,1,9,4582,2849,#analytics
2026-04-11,1087,102,33,5,3,3799,3744,#data
2026-04-12,1105,435,19,26,7,3191,2127,#python
2026-04-13,1120,389,49,23,6,1608,3101,#python
2026-04-14,1118,141,5,14,8,4272,1252,#analytics
2026-04-15,1120,416,29,7,9,2147,3908,#data
2026-04-16,1138,493,11,27,5,1186,1983,#data
2026-04-17,1135,477,13,9,1,4397,3862,#coding
2026-04-18,1151,313,28,15,19,3511,2856,#data
2026-04-19,1166,480,5,15,10,4420,3970,#data
2026-04-20,1162,84,48,26,12,2794,2482,#data
2026-04-21,1180,255,12,10,15,1659,3663,#streamlit
2026-04-22,1186,130,28,28,9,3811,3055,#coding
2026-04-23,1186,469,15,13,17,4002,1954,#python
2026-04-24,1182,99,21,19,17,2955,1203,#analytics
2026-04-25,1197,409,12,7,12,3450,2999,#python
2026-04-26,1192,437,39,17,7,2369,2901,#coding
2026-04-27,1198,51,39,20,2,2986,3991,#analytics
2026-04-28,1214,439,37,29,3,2534,2496,#coding
2026-04-29,1220,103,9,4,17,1146,1427,#data
2026-04-30,1239,155,46,5,5,4219,1386,#analytics
2026-05-01,1250,309,43,23,17,3911,2448,#data
2026-05-02,1254,359,45,7,17,2734,2243,#python
2026-05-03,1264,240,32,13,17,2843,2245,#python
2026-05-04,1273,451,11,15,2,1488,903,#analytics
2026-05-05,1282,267,13,11,2,3976,1053,#analytics
2026-05-06,1295,93,12,29,5,2959,3983,#coding
2026-05-07,1301,211,16,4,1,2663,3357,#coding
2026-05-08,1318,251,38,13,1,3598,2296,#data
2026-05-09,1332,495,37,7,19,3385,898,#analytics
2026-05-10,1351,319,27,27,2,3919,3000,#python
2026-05-11,1348,400,28,19,12,1640,2684,#coding
2026-05-12,1347,353,41,22,6,2802,3761,#coding
2026-05-13,1360,320,39,28,4,3520,2719,#python
2026-05-14,1361,264,48,2,11,2969,1677,#coding
2026-05-15,1376,301,44,10,17,3198,1137,#data
